Area,Country,Year,Rate,Arrivals,Expenditure,Population
East Asia,China,2019,0.300934046,9594394,212810,1378665000
East Asia,Hong Kong,2019,0.071852095,2290792,155950,7346700
East Asia,South Korea,2019,0.175164306,5584597,76140,51245707
East Asia,Taiwan,2019,0.153396728,4890602,118290,"23,596,266"
Americas/Australia,Australia,2019,0.019502228,621771,247870,24127159
Americas/Australia,Canada,2019,0.011770323,375262,181800,36286425
Europe,France,2019,0.010549291,336333,237420,66896109
Europe,Germany,2019,0.007419347,236544,201480,82667685
Europe,Italy,2019,0.005105349,162769,199450,60600590
Europe,Russia,2019,0.003765222,120043,183020,144342396
Europe,Spain,2019,0.004085151,130243,221330,46443959
Europe,United Kingdom,2019,0.013307771,424279,241260,65637239
Americas/Australia,United States,2019,0.054069956,1723861,189410,323127513
Southern Asia,India,2019,0.005517086,175896,157240,1324171354
Southern Asia,Indonesia,2019,0.012947066,412779,131090,261115456
Southern Asia,Malaysia,2019,0.01573274,501592,133260,31187265
Southern Asia,Philippines,2019,0.019230696,613114,107920,103320222
Southern Asia,Singapore,2019,0.015439786,492252,173670,5607283
Southern Asia,Thailand,2019,0.041370522,1318977,131460,68863514
Southern Asia,Vietnam,2019,0.015527578,495051,177070,92701100
