Prefecture,Visit Rate(%),Population,Population (%)
Osaka,43.4118,8833000,5.914143682
Tokyo,42.3668,13624000,0.795695367
Kyoto,32.8295,2605000,1.018647633
Chiba,32.2894,6236000,4.912828027
Nara,14.3019,1356000,1.083248643
Hokkaido,9.6727,5352000,0.616073046
Aichi,9.2793,7507000,4.021018963
Fukuoka,9.0134,5104000,1.497640488
Okinawa,7.5326,1439000,1.592966368
Kanagawa,6.5724,9145000,1.549636422
Yamanashi,6.5466,830000,2.235037382
Hyogo,6.3781,5520000,4.216397627
Shizuoka,5.2155,3688000,4.348750916
Oita,3.9471,1160000,2.288608951
Gifu,3.5872,2022000,0.906777591
Nagano,3.1731,2088000,0.998952203
Hiroshima,3.0268,2837000,0.765758313
Ishikawa,2.311,1151000,1.289656748
Kumamoto,2.1567,1774000,7.204588247
Nagasaki,1.6008,1367000,0.568016198
Toyama,1.3395,1061000,1.397587704
Kagoshima,1.1965,1637000,2.052263793
Wakayama,1.1948,954000,1.424373488
Kagawa,1.1559,972000,1.835614064
Okayama,1.1137,1915000,0.863447646
Tochigi,1.0999,1966000,1.644962303
Saga,1.0854,828000,1.076946105
Miyagi,1.016,2330000,1.068280116
Aomori,0.8339,1293000,1.800950108
Mie,0.6852,1808000,0.913867946
Saitama,0.6406,7289000,1.508669928
Shiga,0.6336,1413000,1.133668943
Miyazaki,0.6044,1096000,6.958789283
Yamaguchi,0.5733,1394000,0.652312637
Niigata,0.5651,2286000,5.742399534
Ibaraki,0.5408,2905000,1.113185696
Tottori,0.4752,570000,0.543593864
Iwate,0.4675,1293000,2.905469815
Yamagata,0.4181,782000,1.548848605
Gunma,0.3874,1967000,0.590862896
Akita,0.3811,1375000,10.73322146
Ehime,0.3676,3688000,0.449055801
Tokushima,0.3024,1413000,0.835874044
Fukushima,0.2477,5104000,0.751577604
Shimane,0.2442,1439000,0.876840538
Fukui,0.1924,1637000,1.09821717
Kochi,0.1905,1966000,0.653888272
