Country Name,Visitors,Year,Proportion
Spain,58004000,2006,18.36406464
United States,50977000,2006,16.13931665
United Kingdom,30654000,2006,9.705055468
China,49913000,2006,15.80245428
France,77916000,2006,24.66820323
Italy,41058000,2006,12.99896155
Japan,7334000,2006,2.321944177
Spain,58666000,2007,17.60446518
United States,56135000,2007,16.84496392
United Kingdom,30870000,2007,9.263454816
China,54720000,2007,16.42035139
France,80853000,2007,24.26232952
Italy,43654000,2007,13.09967141
Japan,8347000,2007,2.504763762
Spain,57192000,2008,17.39982294
United States,58007000,2008,17.64777467
United Kingdom,30142000,2008,9.170259178
China,53049000,2008,16.13937626
France,79218000,2008,24.10090875
Italy,42734000,2008,13.00118956
Japan,8351000,2008,2.540668648
Spain,52178000,2009,16.66240883
United States,55103000,2009,17.59647196
United Kingdom,28199000,2009,9.005007217
China,50875000,2009,16.24631165
France,76764000,2009,24.5136485
Italy,43239000,2009,13.80784805
Japan,6790000,2009,2.168303805
Spain,52677000,2010,16.18191872
United States,60010000,2010,18.43455288
United Kingdom,28295000,2010,8.691979234
China,55664000,2010,17.09949928
France,76647000,2010,23.54529536
Italy,43626000,2010,13.40152981
Japan,8611000,2010,2.64522471
Spain,56177000,2011,16.55290918
United States,63477410,2011,18.70402127
United Kingdom,29306000,2011,8.635198686
China,57581000,2011,16.96660669
France,80499000,2011,23.71954067
Italy,46119000,2011,13.58925572
Japan,6219000,2011,1.832467775
Spain,57464000,2012,16.50619772
United States,66966900,2012,19.23585014
United Kingdom,29282000,2012,8.411083143
China,57725000,2012,16.58116845
France,81980000,2012,23.54827526
Italy,46360000,2012,13.3166387
Japan,8358000,2012,2.400786589
Spain,60675000,2013,16.81824523
United States,71642910,2013,19.85839356
United Kingdom,31063000,2013,8.610220875
China,55686000,2013,15.43536554
France,83634000,2013,23.18215281
Italy,47704000,2013,13.2228689
Japan,10364000,2013,2.872753087
Spain,64939000,2014,17.35207853
United States,75379350,2014,20.14180078
United Kingdom,32613000,2014,8.714383302
China,55622000,2014,14.86252194
France,83701000,2014,22.36539407
Italy,48576000,2014,12.97978975
Japan,13413000,2014,3.58403162
Spain,68175000,2015,17.38308875
United States,77773520,2015,19.83049506
United Kingdom,34436000,2015,8.780404023
China,56886000,2015,14.50464814
France,84452000,2015,21.53335697
Italy,50732000,2015,12.93551681
Japan,19737000,2015,5.032490249
Spain,75315000,2016,18.55504088
United States,76407480,2016,18.8241906
United Kingdom,35814000,2016,8.823345072
China,59270000,2016,14.60210148
France,82682000,2016,20.37001779
Italy,52372000,2016,12.90267013
Japan,24040000,2016,5.922634041
Spain,81869000,2017,18.98857457
United States,77186740,2017,17.90257812
United Kingdom,37651000,2017,8.732717159
China,60740000,2017,14.08794561
France,86758000,2017,20.12252199
Italy,58253000,2017,13.51111452
Japan,28691000,2017,6.654548034
Spain,82773000,2018,18.65029148
United States,79745920,2018,17.96823423
United Kingdom,36316000,2018,8.182668083
China,62900000,2018,14.17253614
France,89322000,2018,20.12590259
Italy,61567200,2018,13.87223159
Japan,31192000,2018,7.028135887
