,bedrooms,city_name,date_sold,lat,lga_pid,loc_pid,lon,price,property_type,state,suburb
27012,1.0,Melbourne,2018-09-04 00:00:00,-37.661765,VIC129,VIC1150,145.51003400000002,337500.0,unit,VIC,Healesville
27013,2.0,Melbourne,2018-09-05 00:00:00,-37.648961,VIC129,VIC1150,145.522798,370000.0,unit,VIC,Healesville
27014,2.0,Melbourne,2018-11-02 00:00:00,-37.663509000000005,VIC129,VIC1150,145.509362,320000.0,unit,VIC,Healesville
27015,2.0,Melbourne,2018-11-02 00:00:00,-37.637402,VIC129,VIC1150,145.49733,385000.0,unit,VIC,Healesville
27016,3.0,Melbourne,2018-11-03 00:00:00,-37.662562,VIC129,VIC1150,145.509064,440000.0,unit,VIC,Healesville
27017,2.0,Melbourne,2018-11-09 00:00:00,-37.655584000000005,VIC129,VIC1150,145.518148,380000.0,unit,VIC,Healesville
27018,2.0,Melbourne,2018-11-29 00:00:00,-37.645395,VIC129,VIC1150,145.526745,350000.0,unit,VIC,Healesville
27019,2.0,Melbourne,2018-12-22 00:00:00,-37.65133,VIC129,VIC1150,145.488617,377000.0,unit,VIC,Healesville
27020,2.0,Melbourne,2019-02-07 00:00:00,-37.659733,VIC129,VIC1150,145.510321,385000.0,unit,VIC,Healesville
27021,1.0,Melbourne,2019-02-14 00:00:00,-37.666202,VIC129,VIC1150,145.539322,265000.0,unit,VIC,Healesville
27022,2.0,Melbourne,2019-03-19 00:00:00,-37.665809,VIC129,VIC1150,145.52677,375000.0,unit,VIC,Healesville
27025,2.0,Melbourne,2019-04-08 00:00:00,-37.658546,VIC129,VIC1150,145.509973,450500.0,unit,VIC,Healesville
27026,2.0,Melbourne,2019-06-06 00:00:00,-37.650082,VIC129,VIC1150,145.563179,420000.0,unit,VIC,Healesville
27027,3.0,Melbourne,2019-06-26 00:00:00,-37.650641,VIC129,VIC1150,145.52452,450000.0,unit,VIC,Healesville
27028,1.0,Melbourne,2019-07-19 00:00:00,-37.646435,VIC129,VIC1150,145.49686200000002,277500.0,unit,VIC,Healesville
27029,2.0,Melbourne,2019-08-23 00:00:00,-37.65712803,VIC129,VIC1150,145.52221708,335000.0,unit,VIC,Healesville
