id,value,ward,population,foreigners,perc_foreigners
13101,1,Chiyoda,58406,2091,3.58
13102,1,Chuo,141183,4691,3.32
13103,1,Minato,243283,17118,7.04
13104,1,Shinjuku,333,560,30,506,9.15
13105,1,Bunkyo,219724,6634,3.02
13106,1,Taito,198073,13795,6.96
13107,1,Sumida,256274,8624,3.37
13108,1,Koto,498109,21373,4.29
13109,1,Shinagawa,386855,9259,2.39
13110,1,Meguro,277622,6919,2.49
13111,1,Ota,717082,15271,2.13
13112,1,Setagaya,903346,16217,1.80
13113,1,Shibuya,224533,7110,3.17
13114,1,Nakano,328215,10305,3.14
13115,1,Suginami,563997,9847,1.75
13116,1,Teshima,291167,22279,7.65
13117,1,Kita,341076,15152,4.44
13118,1,Arakawa,212264,14576,6.87
13119,1,Itabashi,561916,15295,2.72
13120,1,Nerima,721722,12696,1.76
13121,1,Adachi,670122,21563,3.22
13122,1,Katsushika,442913,13139,2.97
13123,1,Edogawa,681298,23997,3.52
